# YYYY name num_sentences num_words avg_sentence_len num_unique_words num_unique_lemmas
1789 "George Washington" 25 1550 62.000000 630 591
1793 "George Washington" 4 147 36.750000 96 92
1797 "John Adams" 37 2578 69.675676 826 761
1801 "Thomas Jefferson" 41 1921 46.853659 714 674
1805 "Thomas Jefferson" 45 2374 52.755556 805 731
1809 "James Madison" 21 1257 59.857143 534 508
1813 "James Madison" 33 1302 39.454545 541 510
1817 "James Monroe" 121 3667 30.305785 1040 933
1821 "James Monroe" 129 4875 37.790698 1261 1113
1825 "John Quincy Adams" 74 3137 42.391892 1004 916
1829 "Andrew Jackson" 25 1202 48.080000 518 500
1833 "Andrew Jackson" 30 1260 42.000000 498 470
1837 "Martin Van Buren" 95 4141 43.589474 1318 1181
1841 "William Henry Harrison" 210 9083 43.252381 1914 1648
1845 "James K. Polk" 153 5171 33.797386 1338 1197
1849 "Zachary Taylor" 22 1176 53.454545 496 476
1853 "Franklin Pierce" 104 3629 34.894231 1167 1075
1857 "James Buchanan" 89 3077 34.573034 943 871
1861 "Abraham Lincoln" 148 4235 28.614865 1144 1024
1865 "Abraham Lincoln" 29 802 27.655172 371 356
1869 "Ulysses S. Grant" 40 1218 30.450000 488 453
1873 "Ulysses S. Grant" 43 1467 34.116279 550 497
1877 "Rutherford B. Hayes" 59 2685 45.508475 841 769
1881 "James A. Garfield" 111 3205 28.873874 1025 930
1885 "Grover Cleveland" 44 1811 41.159091 675 630
1889 "Benjamin Harrison" 157 4733 30.146497 1354 1215
1893 "Grover Cleveland" 58 2135 36.810345 819 763
1897 "William McKinley" 130 4341 33.392308 1236 1118
1901 "William McKinley" 100 2444 24.440000 857 786
1905 "Theodore Roosevelt" 33 1079 32.696970 403 381
1909 "William Howard Taft" 159 5821 36.610063 1433 1252
1913 "Woodrow Wilson" 68 1887 27.750000 657 604
1917 "Woodrow Wilson" 59 1649 27.949153 549 507
1921 "Warren Harding" 148 3729 25.195946 1166 1065
1925 "Calvin Coolidge" 196 4440 22.653061 1221 1085
1929 "Herbert Hoover" 164 4059 24.750000 1125 1018
1933 "Franklin Roosevelt" 85 2078 24.447059 749 685
1937 "Franklin Roosevelt" 96 1975 20.572917 728 675
1941 "Franklin Roosevelt" 68 1478 21.735294 537 502
1945 "Franklin Roosevelt" 26 608 23.384615 278 267
1949 "Harry S. Truman" 116 2490 21.465517 783 719
1953 "Dwight Eisenhower" 119 2728 22.924370 899 839
1957 "Dwight Eisenhower" 92 1858 20.195652 623 582
1961 "John F. Kennedy" 55 1533 27.872727 562 534
1965 "Lyndon Johnson" 94 1675 17.819149 567 521
1969 "Richard Nixon" 103 2382 23.126214 752 683
1973 "Richard Nixon" 68 1973 29.014706 550 491
1974 "Gerald Ford" 41 945 23.048780 402 385
1977 "Jimmy Carter" 52 1365 26.250000 520 496
1981 "Ronald Reagan" 127 2771 21.818898 904 823
1985 "Ronald Reagan" 124 2898 23.370968 928 832
1989 "George H. W. Bush" 143 2679 18.734266 794 713
1993 "Bill Clinton" 93 1830 19.677419 631 572
1997 "Bill Clinton" 112 2454 21.910714 771 704
2001 "George W. Bush" 84 1829 21.773810 626 579
2005 "George W. Bush" 97 2353 24.257732 771 688
2009 "Barack Obama" 107 2661 24.869159 926 844
2013 "Barack Obama" 83 2359 28.421687 815 757
2017 "Donald Trump" 93 1683 18.096774 573 532
